inspirID,inspir,type,count
0,Amanda Makulec,Person,8
1,Amy Cesal,Person,8
2,Alberto Cairo,Person,86
3,Datawrapper,Blog,11
4,Stephanie Evergreen,Person,59
5,Ann K. Emery,Person,20
6,#Datafam,Community,13
7,NYT,Magazine,38
8,Flowingwithdata (Nathan Yau),Blog,39
9,Washington Post,Magazine,11
10,Tableau Public,Community,41
11,Nadieh Bremer,Person,73
12,Shirley Wu,Person,49
13,Edward Tufte,Person,49
14,Financial Times,Magazine,56
15,Storytelling With Data (Cole Knaflic),Blog,78
16,Mona Chalabi,Person,17
17,Johnathan Schwabish,Person,20
18,Steve Wexler,Person,30
19,Valentina D'Efilippo,Person,9
20,Giorgia Lupi,Person,46
21,Amelia Wattenberger,Person,19
22,Federica Fragapane,Person,24
23,Lisa Charlotte Muth,Person,20
24,Jeffrey Shaffer,Person,7
25,Andy Kriebel,Person,12
26,Kevin And Ken Flerlage,Person,22
27,Andy Cotgreave,Person,13
28,Twitter,Social Network,38
29,r/Dataisbeautiful,Social Network,4
30,Cedric Scherer,Person,18
31,538,Magazine,10
32,Stephen Few,Person,19
33,Tamara Munzner,Person,8
34,Moritz Stefaner,Person,21
35,Linkedin,Social Network,9
36,Mike Bostock,Person,21
37,Stefanie Posavec,Person,13
38,Nature,Magazine,10
39,Gurman Bhatia,Person,5
40,Wall Street Journal,Magazine,5
41,Bloomberg,Magazine,4
42,Pudding,Magazine,24
43,Andy Kirk,Person,33
44,Susie Lu,Person,5
45,Datavis Society,Organisation,35
46,Slack,Social Network,11
47,Ann Emery,Person,4
48,IEEE,Organisation,4
49,David Mccandless,Person,11
50,Dribbble,Social Network,3
51,#Tidytuesday,Community,9
52,Instagram,Social Network,11
53,Nightingale,Magazine,8
54,Economist,Magazine,14
55,Information Is Beautiful,Blog,8
56,#Makeovermonday,Community,8
57,Hans Rosling,Person,5
58,Bill Shander,Person,4
59,Ironviz,Community,3
60,Jessica Hullman,Person,6
61,Catherine D'Ignazio,Person,4
62,Alli Torban,Person,18
63,Gabrielle Merite,Person,10
64,Duncan Geere,Person,4
65,Jane Zhang,Person,4
66,Observable,Community,11
67,Pinterest,Social Network,10
68,Elijah Meeks,Person,6
69,R.J Andrews,Person,10
70,Ryan Sleeper,Person,5
71,Ben Jones,Person,6
72,Thomas Lin Pedersen,Person,5
73,Visual Capialist,Magazine,3
74,National Geographic,Magazine,6
75,Danielle Navarro,Person,4
76,Hadley Wickham,Person,5
77,Behance,Social Network,5
78,Judit Bekker,Person,4
79,Zach Bowders,Person,2
80,Fathom,Organisation,3
81,Accurat,Organisation,4
82,D3,Blog,3
83,Guardian,Magazine,2
84,Kontinentalist,Organisation,4
85,Maarten Lambrecht,Person,5
