Excel,Tableau,R,Illustrator,D3,ggplot2,Python,PowerBI,Flourish,Datawrapper,Unnamed: 0,ID,inspir,doc_id,type,ToolsForDV_,ToolsForDV_PowerPoint,ToolsForDV_PenPaper,ToolsForDV_Other__,count,inspirID
0,0,1,1,0,1,0,0,0,0,1,1,Amanda Makulec,2048,Person,4,,,,8,0
0,0,1,1,0,1,0,0,0,0,2,1,Amy Cesal,2047,Person,4,,,,8,1
0,0,1,1,0,1,0,0,0,0,3,1,Alberto Cairo,2049,Person,4,,,,86,2
1,0,0,0,0,0,0,0,0,1,4,4,Datawrapper,1884,Blog,3,PowerPoint,,,11,3
1,0,0,0,0,0,0,0,0,1,5,4,Stephanie Evergreen,1883,Person,3,PowerPoint,,,59,4
1,0,0,0,0,0,0,0,0,1,6,4,Ann K. Emery,1882,Person,3,PowerPoint,,,20,5
1,1,0,0,0,0,0,0,0,0,7,5,Stephanie Evergreen,1267,Person,2,,,,59,4
1,1,1,0,1,0,1,0,1,0,8,10,#Datafam,1568,Community,15,PowerPoint,,Infogram,13,6
1,1,1,0,0,1,0,0,1,1,9,14,NYT,383,Magazine,8,,,,38,7
1,1,1,0,0,1,0,0,1,1,10,14,Alberto Cairo,380,Person,8,,,,86,2
1,1,1,0,0,1,0,0,1,1,11,14,Flowingwithdata (Nathan Yau),381,Blog,8,,,,39,8
1,1,1,0,0,1,0,0,1,1,12,14,Washington Post,383,Magazine,8,,,,11,9
0,1,0,0,0,0,0,1,0,0,13,20,Tableau Public,1091,Community,2,,,,41,10
1,1,0,0,0,0,0,0,0,0,14,25,Nadieh Bremer,62,Person,2,,,,73,11
1,1,0,0,0,0,0,0,0,0,15,25,Shirley Wu,62,Person,2,,,,49,12
1,1,0,0,0,0,0,0,0,0,16,25,Edward Tufte,64,Person,2,,,,49,13
1,1,0,0,0,0,0,0,0,0,17,25,Financial Times,64,Magazine,2,,,,56,14
1,0,0,1,0,0,0,0,0,0,18,28,Stephanie Evergreen,96,Person,4,PowerPoint,Pen & paper,,59,4
1,0,0,1,0,0,0,0,0,0,19,28,NYT,94,Magazine,4,PowerPoint,Pen & paper,,38,7
1,0,0,1,0,0,0,0,0,0,20,28,Storytelling With Data (Cole Knaflic),97,Blog,4,PowerPoint,Pen & paper,,78,15
1,0,0,1,0,0,0,0,0,0,21,28,Mona Chalabi,95,Person,4,PowerPoint,Pen & paper,,17,16
1,0,0,0,0,0,1,0,0,0,22,29,Financial Times,162,Magazine,4,,,,56,14
1,0,0,0,0,0,1,0,0,0,23,29,Edward Tufte,162,Person,4,,,,49,13
1,1,0,0,0,0,0,1,0,0,24,33,Flowingwithdata (Nathan Yau),1119,Blog,5,PowerPoint,Pen & paper,,39,8
